Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,28.323373794555664,28.53740377858729,27.62777294452926,27.62777294452926,212976
2002-08-13,27.93990707397461,28.813866893918384,27.734795526861216,28.35905137473269,153576
2002-08-14,26.013628005981445,28.002327226783994,25.487467450922235,28.002327226783994,822776
2002-08-15,26.013628005981445,26.013628005981445,26.013628005981445,26.013628005981445,0
2002-08-16,25.951208114624023,27.11054043589589,25.505311067981,25.879865675776976,811856
2002-08-19,25.309118270874023,26.165241245946994,25.068335470145318,26.165241245946994,205880
2002-08-20,26.013628005981445,27.627772716663685,25.318027161692147,25.487467450922235,3773624
2002-08-21,27.288888931274414,27.96665273008437,26.05821463671472,27.44941071872531,3011064
2002-08-22,28.4660587310791,29.661061859731937,28.04691456314165,28.18960211317602,6732480
2002-08-23,30.17830467224121,31.123606739289606,28.367964165419608,28.715763237969206,4841672
2002-08-26,30.0712890625,30.85606654497044,29.830503639574022,30.659870813583435,2576912
2002-08-27,29.322179794311523,31.56950131556012,29.072478612634463,30.320989964097294,3694224
2002-08-28,29.34894371032715,29.678905886927183,28.742522103143525,29.233008847030202,1674960
2002-08-29,29.34894371032715,29.875101673097674,29.072487001283108,29.170584894368353,1236544
2002-08-30,31.426828384399414,32.19377197293808,29.4292098367578,29.438128323440584,3762384
2002-09-02,31.74787712097168,32.80019330771364,31.426830628249313,31.926235981201856,2389568
2002-09-03,30.25857925415039,32.060004813511775,29.964288226258574,31.92623566964455,986784
2002-09-04,30.91849708557129,31.212787998080394,29.527297990491878,29.87509708387695,1449856
2002-09-05,30.731237411499023,32.006502391370354,30.32101141858648,31.86381473450416,1061360
2002-09-06,29.589725494384766,30.85607413417176,29.259763328763828,30.85607413417176,907472
2002-09-09,29.206260681152344,30.4547725881329,28.18069732898974,28.18069732898974,880848
2002-09-10,29.206260681152344,29.206260681152344,29.206260681152344,29.206260681152344,0
2002-09-11,29.94643783569336,30.463679926511304,29.366771805294288,29.366771805294288,635936
2002-09-12,30.09805679321289,30.83824495314103,29.892945198497422,30.31208687498993,781968
2002-09-13,29.241933822631836,30.124809613281734,28.99223251348202,29.045740714454165,338264
2002-09-16,28.671178817749023,29.678905009508238,28.448230304391718,29.51838316850677,288592
2002-09-17,29.509450912475586,29.69672812060687,29.090309535888437,29.188404658755978,462952
2002-09-18,28.599834442138672,29.429201766955334,28.359048975429687,29.34002236766153,315432
2002-09-19,28.359039306640625,29.30434116116965,28.002321831085396,28.359039306640625,490848
2002-09-20,27.895309448242188,28.305535147503726,27.22646408690449,27.342398915792934,501072
2002-09-23,27.422672271728516,28.162860385894138,27.30674011171606,28.091517936892625,248504
2002-09-24,26.49519157409668,27.324558632829135,26.20089801792118,27.324558632829135,267912
2002-09-25,26.70033073425293,26.93219788285062,25.68368539821516,25.8798813058458,379544
2002-09-26,27.11945343017578,27.5475134196666,26.93217616419641,27.253222517084044,178136
2002-09-27,27.44941520690918,27.823969734255137,27.030273706015276,27.030273706015276,206288
2002-09-30,26.450605392456055,27.44941284348175,25.879857888792976,27.030271378676435,202232
2002-10-01,26.227663040161133,26.93217978152901,25.772847539277763,26.575462168528627,240192
